Handle,ProductVersionType,Price,UnitCost,Barcodes,LowInventoryThreshold,BaseProductName,BaseProductPosName,ShortDescription,LongDescription,IsPublished,IsOrderable,MaxPerPersonOrderQty,ValidToDate,ProductCategories,RequirementCategories,RestrictionCategories,TaxCategories,Vendor
Chicken and Sausage Jambalaya,Standard,5.05,,DBG00000036,,Chicken and Sausage Jambalaya,Jambalaya,Chicken and Sausage Jambalaya,,true,false,,,Plated Entree;,,,,
Chicken and Waffle Sandwich Combo,Standard,6.50,,DBG00000163,,Chicken and Waffle Sandwich Combo,ChkWfflSandCmb,Chicken and Waffle Sandwich Combo,,true,false,,,Plated Entree;,,,,
Chicken and Waffle Sandwich with Sriracha Honey,Standard,4.75,,DBG00000037,,Chicken and Waffle Sandwich with Sriracha Honey,ChkWfflSandSrrc,Chicken and Waffle Sandwich with Sriracha Honey,,true,false,,,Plated Entree;,,,,
Chicken Bacon Ranch Pizza Combo,Standard,6.50,,DBG00000164,,Chicken Bacon Ranch Pizza Combo,ChkBcnRnchPzzCm,Chicken Bacon Ranch Pizza Combo,,true,false,,,Plated Entree;,,,,
Chicken Bacon Ranch Sandwich Combo,Standard,6.25,,DBG00000326,,Chicken Bacon Ranch Sandwich Combo,ChkBcnRnchSandC,Chicken Bacon Ranch Sandwich Combo,,true,false,,,Plated Entree;,,,,
Chicken Bites,Standard,4.75,,DBG00000038,,Chicken Bites,Chick Bites,Chicken Bites,,true,false,,,Plated Entree;,,,,
Chicken Bites Combo,Standard,6.50,,DBG00000165,,Chicken Bites Combo,Chick Bites Cmb,Chicken Bites Combo,,true,false,,,Plated Entree;,,,,
Chicken Club Combo,Standard,6.50,,DBG00000327,,Chicken Club Combo,Chick Club Cmb,Chicken Club Combo,,true,false,,,Plated Entree;,,,,
Chicken Enchilada Combo,Standard,6.10,,DBG00000328,,Chicken Enchilada Combo,ChkEnchiladaCmb,Chicken Enchilada Combo,,true,false,,,Plated Entree;,,,,
Chicken Fricassee,Standard,5.05,,DBG00000329,,Chicken Fricassee,Chick Fricassee,Chicken Fricassee,,true,false,,,Plated Entree;,,,,
Chicken Nugget Combo,Standard,6.50,,DBG00000166,,Chicken Nugget Combo,Chk Nugget Cmb,Chicken Nugget Combo,,true,false,,,Plated Entree;,,,,
Chicken Nuggets,Standard,4.75,,DBG00000040,,Chicken Nuggets,Chick Nuggets,Chicken Nuggets,,true,false,,,Plated Entree;,,,,
Chicken Nuggets Combo,Standard,6.50,,DBG00000330,,Chicken Nuggets Combo,Chk Nuggets Cmb,Chicken Nuggets Combo,,true,false,,,Plated Entree;,,,,
Chicken Parm,Standard,5.05,,DBG00000041,,Chicken Parm,Chick Parm,Chicken Parm,,true,false,,,Plated Entree;,,,,
Chicken Parm Combo,Standard,6.10,,DBG00000167,,Chicken Parm Combo,Chick Parm Cmb,Chicken Parm Combo,,true,false,,,Plated Entree;,,,,
Chicken Pot Pie,Standard,5.05,,DBG00000331,,Chicken Pot Pie,Chick Pot Pie,Chicken Pot Pie,,true,false,,,Plated Entree;,,,,
Chicken Salad Bento Box,Standard,5.75,,DBG00000042,,Chicken Salad Bento Box,ChkSldBntBox,Chicken Salad Bento Box,,true,false,,,Plated Entree;,,,,
Chicken Tenders,Standard,4.75,,DBG00000048,,Chicken Tenders,Chick Tenders,Chicken Tenders,,true,false,,,Plated Entree;,,,,
Chicken Teriyaki Combo,Standard,6.05,,DBG00000332,,Chicken Teriyaki Combo,Chick Nood Cmb,Chicken Teriyaki Combo,,true,false,,,Plated Entree;,,,,
"Chicken, Bacon, and Ranch Pizza",Standard,4.75,,DBG00000049,,"Chicken, Bacon, and Ranch Pizza",ChkBcnRanchPzza,"Chicken, Bacon, and Ranch Pizza",,true,false,,,Plated Entree;,,,,
Corn Dog Combo,Standard,6.50,,DBG00000333,,Corn Dog Combo,Corn Dog Cmb,Corn Dog Combo,,true,false,,,Plated Entree;,,,,
Creamy Marinara,Standard,5.05,,DBG00000334,,Creamy Marinara,Crm Marinara,Creamy Marinara,,true,false,,,Plated Entree;,,,,
Crossroads Combo,Standard,6.50,,DBG00000335,,Crossroads Combo,Crossroads Cmb,Crossroads Combo,,true,false,,,Plated Entree;,,,,
Cubano,Standard,4.75,,DBG00000336,,Cubano,Cubano,Cubano,,true,false,,,Plated Entree;,,,,
Cubano Combo,Standard,6.50,,DBG00000337,,Cubano Combo,Cubano Cmb,Cubano Combo,,true,false,,,Plated Entree;,,,,
Eggplant Parmesan,Standard,5.05,,DBG00000061,,Eggplant Parmesan,EggplnPrmsn,Eggplant Parmesan,,true,false,,,Plated Entree;,,,,
Fajita Bar,Standard,6.10,,DBG00000338,,Fajita Bar,Fajita Bar,Fajita Bar,,true,false,,,Plated Entree;,,,,
Free Style Protein Pack,Standard,5.75,,DBG00000168,,Free Style Protein Pack,FS Pro Pack,Free Style Protein Pack,,true,false,,,Plated Entree;,,,,
Fried Chicken Sandwich,Standard,4.75,,DBG00000064,,Fried Chicken Sandwich,Fried Chk Sand,Fried Chicken Sandwich,,true,false,,,Plated Entree;,,,,
Fried Chicken Sandwich Combo,Standard,6.50,,DBG00000171,,Fried Chicken Sandwich Combo,FriedChkSandCmb,Fried Chicken Sandwich Combo,,true,false,,,Plated Entree;,,,,
Fried Mozzarella Sticks,Standard,4.75,,DBG00000339,,Fried Mozzarella Sticks,FriedMozzSticks,Fried Mozzarella Sticks,,true,false,,,Plated Entree;,,,,
Fried Rice Take Out Combo,Standard,6.50,,DBG00000340,,Fried Rice Take Out Combo,FrdRiceTakeOutC,Fried Rice Take Out Combo,,true,false,,,Plated Entree;,,,,
Green Chile and Chipotle Chicken En,Standard,5.05,,DBG00000341,,Green Chile and Chipotle Chicken En,GrnChlChpChkEn,Green Chile and Chipotle Chicken En,,true,false,,,Plated Entree;,,,,
Grilled Cheese Combo,Standard,6.50,,DBG00000173,,Grilled Cheese Combo,Grld Chz Cmb,Grilled Cheese Combo,,true,false,,,Plated Entree;,,,,
Grilled Cheese on Texas Toast,Standard,4.75,,DBG00000069,,Grilled Cheese on Texas Toast,GrldChz Txt,Grilled Cheese on Texas Toast,,true,false,,,Plated Entree;,,,,
Grilled Hamburger Combo,Standard,6.50,,DBG00000342,,Grilled Hamburger Combo,Grld Burger Cmb,Grilled Hamburger Combo,,true,false,,,Plated Entree;,,,,
Grilled Hamburgers with Bun,Standard,4.75,,"DBG00000070,DBG00000343",,Grilled Hamburgers with Bun,Grld Hmbrgr,Grilled Hamburgers with Bun,,true,false,,,Plated Entree;,,,,
Hamburger Combo,Standard,6.50,,DBG00000176,,Hamburger Combo,Burger Cmb,Hamburger Combo,,true,false,,,Plated Entree;,,,,
Honey BBQ Chicken Wrap,Standard,4.75,,DBG00000079,,Honey BBQ Chicken Wrap,HonBbqChkWrap,Honey BBQ Chicken Wrap,,true,false,,,Plated Entree;,,,,
Honey BBQ Chicken Wrap Combo,Standard,6.50,,DBG00000177,,Honey BBQ Chicken Wrap Combo,HnyBbqChkWrapCm,Honey BBQ Chicken Wrap Combo,,true,false,,,Plated Entree;,,,,
Hot Ramen Bar,Standard,6.10,,DBG00000344,,Hot Ramen Bar,Ramen Bar Bar,Hot Ramen Bar,,true,false,,,Plated Entree;,,,,
House-Made Pesto Cream Sauce,Standard,5.05,,DBG00000345,,House-Made Pesto Cream Sauce,HsMadePstCrmSc,House-Made Pesto Cream Sauce,,true,false,,,Plated Entree;,,,,
House-Roasted Pulled Pork,Standard,5.05,,DBG00000087,,House-Roasted Pulled Pork,HRoastPullPork,House-Roasted Pulled Pork,,true,false,,,Plated Entree;,,,,
House-Roasted Turkey,Standard,5.05,,DBG00000346,,House-Roasted Turkey,House Ro Turkey,House-Roasted Turkey,,true,false,,,Plated Entree;,,,,
Jambalaya Combo,Standard,6.10,,DBG00000178,,Jambalaya Combo,Jambalaya Cmb,Jambalaya Combo,,true,false,,,Plated Entree;,,,,
Loaded BBQ Nachos,Standard,6.50,,DBG00000347,,Loaded BBQ Nachos,L Bbq Nachos,Loaded BBQ Nachos,,true,false,,,Plated Entree;,,,,
Loaded Mac & Cheese Bar,Standard,6.10,,DBG00000179,,Loaded Mac & Cheese Bar,L Mac & Chz Bar,Loaded Mac & Cheese Bar,,true,false,,,Plated Entree;,,,,
Loaded Mac and Cheese Bar,Standard,6.50,,DBG00000348,,Loaded Mac and Cheese Bar,L Mac Chz Bar,Loaded Mac and Cheese Bar,,true,false,,,Plated Entree;,,,,
Mac & Cheese,Standard,5.05,,DBG00000095,,Mac & Cheese,Mac Chz,Mac & Cheese,,true,false,,,Plated Entree;,,,,
Mac and Cheese Pizza Combo,Standard,6.50,,DBG00000349,,Mac and Cheese Pizza Combo,MC Pizza Cmb,Mac and Cheese Pizza Combo,,true,false,,,Plated Entree;,,,,
Macaroni and Cheese Pizza,Standard,4.75,,DBG00000350,,Macaroni and Cheese Pizza,Mac Chz Pizza,Macaroni and Cheese Pizza,,true,false,,,Plated Entree;,,,,
Main Ingredient Combo,Standard,6.10,,DBG00000351,,Main Ingredient Combo,MainIngrdnCmb,Main Ingredient Combo,,true,false,,,Plated Entree;,,,,
Meat Sauce,Standard,5.05,,DBG00000352,,Meat Sauce,Meat Sauce,Meat Sauce,,true,false,,,Plated Entree;,,,,
Meatball Sub,Standard,4.75,,DBG00000353,,Meatball Sub,Meatball Sub,Meatball Sub,,true,false,,,Plated Entree;,,,,
Meatball Sub Combo,Standard,6.50,,DBG00000354,,Meatball Sub Combo,MeatballSubCmb,Meatball Sub Combo,,true,false,,,Plated Entree;,,,,
Meatballs with Marinara,Standard,5.05,,DBG00000355,,Meatballs with Marinara,MtbllsMrnr,Meatballs with Marinara,,true,false,,,Plated Entree;,,,,
Mexican Chicken Quesadillas,Standard,4.75,,DBG00000097,,Mexican Chicken Quesadillas,MxChkQuedillas,Mexican Chicken Quesadillas,,true,false,,,Plated Entree;,,,,
Mexican Street Corn Chicken Bowl,Standard,6.10,,DBG00000180,,Mexican Street Corn Chicken Bowl,MxStCornChkBwl,Mexican Street Corn Chicken Bowl,,true,false,,,Plated Entree;,,,,
Mozzarella Sticks with Marinara Sauce,Standard,4.50,,DBG00000356,,Mozzarella Sticks with Marinara Sauce,MozzStcksMrnrSc,Mozzarella Sticks with Marinara Sauce,,true,false,,,Plated Entree;,,,,
Mushroom Pot Pie,Standard,5.05,,DBG00000357,,Mushroom Pot Pie,MushroomPotPie,Mushroom Pot Pie,,true,false,,,Plated Entree;,,,,
Nacho Bar,Standard,6.10,,DBG00000358,,Nacho Bar,Nacho Bar,Nacho Bar,,true,false,,,Plated Entree;,,,,
Nashville Hot Chicken Sandwich,Standard,4.75,,DBG00000359,,Nashville Hot Chicken Sandwich,NshvHotSndSand,Nashville Hot Chicken Sandwich,,true,false,,,Plated Entree;,,,,
Nashville Hot Chicken Sandwich Combo,Standard,6.50,,DBG00000360,,Nashville Hot Chicken Sandwich Combo,NshvllHotChkSan,Nashville Hot Chicken Sandwich Combo,,true,false,,,Plated Entree;,,,,
Papri Chaat Bar,Standard,6.10,,DBG00000361,,Papri Chaat Bar,Papri Chaat Bar,Papri Chaat Bar,,true,false,,,Plated Entree;,,,,
Pasta Combo,Standard,6.10,,DBG00000181,,Pasta Combo,Pasta Cmb,Pasta Combo,,true,false,,,Plated Entree;,,,,
Pasta with Marinara,Standard,5.05,,"DBG00000362,DBG00000103",,Pasta with Marinara,Pasta Marinara,Pasta with Marinara,,true,false,,,Plated Entree;,,,,
Pepperoni Pizza,Standard,3.50,,DBG00000105,,Pepperoni Pizza,Pep Pzza,Pepperoni Pizza,,true,false,,,Plated Entree;,,,,
Pepperoni Pizza Combo,Standard,6.25,,DBG00000182,,Pepperoni Pizza Combo,Pep Pizza Cmb,Pepperoni Pizza Combo,,true,false,,,Plated Entree;,,,,
Pepperoni Pizza Pretzels,Standard,4.75,,DBG00000363,,Pepperoni Pizza Pretzels,PepPzzaPretzels,Pepperoni Pizza Pretzels,,true,false,,,Plated Entree;,,,,
Pesto Pasta Alfredo,Standard,5.05,,DBG00000108,,Pesto Pasta Alfredo,Pesto Pasta Al,Pesto Pasta Alfredo,,true,false,,,Plated Entree;,,,,
Pho Bar,Standard,6.10,,DBG00000364,,Pho Bar,Pho Bar,Pho Bar,,true,false,,,Plated Entree;,,,,
Polynesian Bowl,Standard,6.10,,DBG00000365,,Polynesian Bowl,Polynesian Bowl,Polynesian Bowl,,true,false,,,Plated Entree;,,,,
Popcorn Shrimp,Standard,6.10,,DBG00000366,,Popcorn Shrimp,Popcorn Shrimp,Popcorn Shrimp,,true,false,,,Plated Entree;,,,,
Pork and Mac Combo,Standard,6.10,,DBG00000367,,Pork and Mac Combo,Pork Mac Cmb,Pork and Mac Combo,,true,false,,,Plated Entree;,,,,
Pot Pie Combo,Standard,6.10,,DBG00000368,,Pot Pie Combo,Pot Pie Cmb,Pot Pie Combo,,true,false,,,Plated Entree;,,,,
Pot Roast,Standard,5.05,,DBG00000369,,Pot Roast,Pot Roast,Pot Roast,,true,false,,,Plated Entree;,,,,
Pot Roast Combo,Standard,6.10,,DBG00000370,,Pot Roast Combo,Pot Roast Cmb,Pot Roast Combo,,true,false,,,Plated Entree;,,,,
Quinoa with Chickpeas and Tomatoes,Standard,5.05,,DBG00000371,,Quinoa with Chickpeas and Tomatoes,QuinChckpTmts,Quinoa with Chickpeas and Tomatoes,,true,false,,,Plated Entree;,,,,
Quinoa with Mushrooms,Standard,5.05,,DBG00000372,,Quinoa with Mushrooms,QuinoaMushrooms,Quinoa with Mushrooms,,true,false,,,Plated Entree;,,,,
Red & White Pasta Bar,Standard,6.10,,DBG00000185,,Red & White Pasta Bar,RedWhtPstBar,Red & White Pasta Bar,,true,false,,,Plated Entree;,,,,
Red Beans and Rice,Standard,5.05,,DBG00000111,,Red Beans and Rice,Red Beans Rice,Red Beans and Rice,,true,false,,,Plated Entree;,,,,
Red Beans Combo,Standard,6.10,,DBG00000186,,Red Beans Combo,Red Beans Cmb,Red Beans Combo,,true,false,,,Plated Entree;,,,,
Roast Beef Poboy Combo,Standard,6.50,,DBG00000373,,Roast Beef Poboy Combo,RstBeefPbyCmb,Roast Beef Poboy Combo,,true,false,,,Plated Entree;,,,,
Salad with Chicken Combo,Standard,6.25,,DBG00000187,,Salad with Chicken Combo,Salad Chick Cmb,Salad with Chicken Combo,,true,false,,,Plated Entree;,,,,
Seasoned Hamburger Combo,Standard,6.50,,DBG00000374,,Seasoned Hamburger Combo,SsndBrgrCmb,Seasoned Hamburger Combo,,true,false,,,Plated Entree;,,,,
Seasoned Hamburgers,Standard,4.75,,DBG00000375,,Seasoned Hamburgers,Seasoned Hmbrgr,Seasoned Hamburgers,,true,false,,,Plated Entree;,,,,
Shepherd's Pie Combo,Standard,6.10,,DBG00000376,,Shepherd's Pie Combo,ShepherdSPieCmb,Shepherd's Pie Combo,,true,false,,,Plated Entree;,,,,
Shrimp Alfredo Combo,Standard,7.10,,DBG00000377,,Shrimp Alfredo Combo,Shrimp Al Cmb,Shrimp Alfredo Combo,,true,false,,,Plated Entree;,,,,
Shrimp and Bacon with Pesto-Alfredo Sauce,Standard,6.05,,DBG00000121,,Shrimp and Bacon with Pesto-Alfredo Sauce,ShrmpBcnPstAlfr,Shrimp and Bacon with Pesto-Alfredo Sauce,,true,false,,,Plated Entree;,,,,
SJA Loaded Mashed Bar,Standard,6.10,,DBG00000378,,SJA Loaded Mashed Bar,SjaLMashedBar,SJA Loaded Mashed Bar,,true,false,,,Plated Entree;,,,,
Spicy Tofu and Broccoli Stir-Fry (GF),Standard,5.05,,DBG00000124,,Spicy Tofu and Broccoli Stir-Fry (GF),SpcyTofuBrcclSt,Spicy Tofu and Broccoli Stir-Fry (GF),,true,false,,,Plated Entree;,,,,
Stickers Ravioli Bar,Standard,6.05,,DBG00000379,,Stickers Ravioli Bar,StckrsRvlBar,Stickers Ravioli Bar,,true,false,,,Plated Entree;,,,,
Street Corn Chicken Bowl Combo,Standard,6.10,,DBG00000380,,Street Corn Chicken Bowl Combo,StrtCornChkBowl,Street Corn Chicken Bowl Combo,,true,false,,,Plated Entree;,,,,
STUCO Frochos,Standard,6.50,,DBG00000381,,STUCO Frochos,Stuco Frochos,STUCO Frochos,,true,false,,,Plated Entree;,,,,
Sweet & Sour Tofu,Standard,3.50,,DBG00000134,,Sweet & Sour Tofu,SS Tofu,Sweet & Sour Tofu,,true,false,,,Plated Entree;,,,,
Sweet and Sour Chicken,Standard,5.05,,"DBG00000135,DBG00000382",,Sweet and Sour Chicken,SS Chick,Sweet and Sour Chicken,,true,false,,,Plated Entree;,,,,
Sweet and Sour Chicken Combo,Standard,6.10,,DBG00000191,,Sweet and Sour Chicken Combo,SS Chick Cmb,Sweet and Sour Chicken Combo,,true,false,,,Plated Entree;,,,,
Taco Bowl or Taco Salad,Standard,6.10,,DBG00000383,,Taco Bowl or Taco Salad,Taco Bowl,Taco Bowl or Taco Salad,,true,false,,,Plated Entree;,,,,
Tacos or Taco Bowls!,Standard,6.10,,DBG00000192,,Tacos or Taco Bowls!,Taco Bwl,Tacos or Taco Bowls!,,true,false,,,Plated Entree;,,,,
Tenders and Tots Combo,Standard,6.50,,DBG00000193,,Tenders and Tots Combo,TendersTotsCmb,Tenders and Tots Combo,,true,false,,,Plated Entree;,,,,
Teriyaki Tori Niku (Authentic Chicken Teriyaki),Standard,5.05,,DBG00000138,,Teriyaki Tori Niku (Authentic Chicken Teriyaki),Teri Chick,Teriyaki Tori Niku (Authentic Chicken Teriyaki),,true,false,,,Plated Entree;,,,,
Three-Cheese Broccoli and Rice Casserole,Standard,5.05,,DBG00000384,,Three-Cheese Broccoli and Rice Casserole,ThrChzBrcclRice,Three-Cheese Broccoli and Rice Casserole,,true,false,,,Plated Entree;,,,,
Tomato and Cheese Quiche,Standard,5.05,,DBG00000385,,Tomato and Cheese Quiche,Tom Chz Quiche,Tomato and Cheese Quiche,,true,false,,,Plated Entree;,,,,
Tortellini Pasta Bar,Standard,6.10,,DBG00000386,,Tortellini Pasta Bar,TrtllnPstBar,Tortellini Pasta Bar,,true,false,,,Plated Entree;,,,,
Tossed To Order Caesar Salad Bar,Standard,6.10,,DBG00000203,,Tossed To Order Caesar Salad Bar,Toss CaeSal Bar,Tossed To Order Caesar Salad Bar,,true,false,,,Plated Entree;,,,,
Totchos,Standard,6.50,,DBG00000387,,Totchos,Totchos,Totchos,,true,false,,,Plated Entree;,,,,
Vegetarian Red Beans and Rice,Standard,5.05,,DBG00000143,,Vegetarian Red Beans and Rice,VegRedBeansRice,Vegetarian Red Beans and Rice,,true,false,,,Plated Entree;,,,,
Vegetarian Shepherd's Pie,Standard,5.05,,DBG00000388,,Vegetarian Shepherd's Pie,VegShepherdSPie,Vegetarian Shepherd's Pie,,true,false,,,Plated Entree;,,,,
Welcome Week Lunch,Standard,7.00,,DBG00000389,,Welcome Week Lunch,WlcmWeekLnch,Welcome Week Lunch,,true,false,,,Plated Entree;,,,,
Cajun Fries,Standard,2.70,,DBG00000025,,Cajun Fries,Cajun Fries,Cajun Fries,,true,false,,,Plated Sides;,,,,
Cajun-Roasted Cabbage,Standard,2.70,,DBG00000027,,Cajun-Roasted Cabbage,CajunRoCabbage,Cajun-Roasted Cabbage,,true,false,,,Plated Sides;,,,,
Cajun-Roasted Corn,Standard,2.70,,DBG00000390,,Cajun-Roasted Corn,Cajun Ro Corn,Cajun-Roasted Corn,,true,false,,,Plated Sides;,,,,
Cilantro-Lime Rice,Standard,2.70,,DBG00000391,,Cilantro-Lime Rice,ClntrLimeRice,Cilantro-Lime Rice,,true,false,,,Plated Sides;,,,,
Cinnamon-Sugar Soft Pretzels,Standard,3.50,,DBG00000392,,Cinnamon-Sugar Soft Pretzels,CinSgrSoftPrtzl,Cinnamon-Sugar Soft Pretzels,,true,false,,,Plated Sides;,,,,
Curly Fries,Standard,2.70,,DBG00000057,,Curly Fries,Curly Fries,Curly Fries,,true,false,,,Plated Sides;,,,,
French Fries,Standard,2.70,,DBG00000062,,French Fries,French Fries,French Fries,,true,false,,,Plated Sides;,,,,
Garlic-Roasted Carrots,Standard,2.70,,DBG00000393,,Garlic-Roasted Carrots,GarlicRoCarrots,Garlic-Roasted Carrots,,true,false,,,Plated Sides;,,,,
House-Made Guacamole,Standard,0.80,,DBG00000086,,House-Made Guacamole,HM Guacamole,House-Made Guacamole,,true,false,,,Plated Sides;,,,,
HouseandFried Tortilla Chips,Standard,2.70,,DBG00000394,,HouseandFried Tortilla Chips,HFriTortChip,HouseandFried Tortilla Chips,,true,false,,,Plated Sides;,,,,
Italian Herb-Roasted Tomatoes,Standard,2.70,,DBG00000090,,Italian Herb-Roasted Tomatoes,IT Ro Tom,Italian Herb-Roasted Tomatoes,,true,false,,,Plated Sides;,,,,
Linguine,Standard,2.70,,DBG00000093,,Linguine,Linguine,Linguine,,true,false,,,Plated Sides;,,,,
Mac & Cheese Side,Standard,2.70,,DBG00000395,,Mac & Cheese Side,Mac Chz Side,Mac & Cheese Side,,true,false,,,Plated Sides;,,,,
Mashed Potatoes,Standard,2.70,,DBG00000396,,Mashed Potatoes,Mashed Potatoes,Mashed Potatoes,,true,false,,,Plated Sides;,,,,
Pasta,Standard,2.70,,DBG00000397,,Pasta,Pasta,Pasta,,true,false,,,Plated Sides;,,,,
Penne,Standard,2.70,,DBG00000104,,Penne,Penne,Penne,,true,false,,,Plated Sides;,,,,
Pork Egg Rolls,Standard,2.00,,DBG00000109,,Pork Egg Rolls,Pork Egg Rolls,Pork Egg Rolls,,true,false,,,Plated Sides;,,,,
Roasted Brussels Sprouts,Standard,2.70,,DBG00000398,,Roasted Brussels Sprouts,RstdBrsslsSprts,Roasted Brussels Sprouts,,true,false,,,Plated Sides;,,,,
Roasted Carrots and Shallots with T,Standard,2.70,,DBG00000399,,Roasted Carrots and Shallots with T,RstdCartsShalts,Roasted Carrots and Shallots with T,,true,false,,,Plated Sides;,,,,
Roasted Cherry Tomatoes,Standard,2.70,,DBG00000400,,Roasted Cherry Tomatoes,Ro Chr Tomatoes,Roasted Cherry Tomatoes,,true,false,,,Plated Sides;,,,,
Roasted Summer Squash,Standard,2.70,,DBG00000112,,Roasted Summer Squash,RoSummerSquash,Roasted Summer Squash,,true,false,,,Plated Sides;,,,,
Roasted Tomatoes,Standard,2.7,,DBG00000113,,Roasted Tomatoes,Ro Tomatoes,Roasted Tomatoes,,true,false,,,Plated Sides;,,,,
Sautéed Summer Squash with Tomatoes,Standard,2.70,,DBG00000117,,Sautéed Summer Squash with Tomatoes,StSmmrSqshTom,Sautéed Summer Squash with Tomatoes,,true,false,,,Plated Sides;,,,,
Seasoned White Beans,Standard,2.70,,DBG00000119,,Seasoned White Beans,SsnWhtBns,Seasoned White Beans,,true,false,,,Plated Sides;,,,,
Sesame Fried Rice,Standard,2.70,,DBG00000120,,Sesame Fried Rice,SesameFriedRice,Sesame Fried Rice,,true,false,,,Plated Sides;,,,,
Shoestring Fries,Standard,2.70,,DBG00000401,,Shoestring Fries,ShoestringFries,Shoestring Fries,,true,false,,,Plated Sides;,,,,
Soft Pretzel Bar,Standard,4.75,,DBG00000402,,Soft Pretzel Bar,SoftPretzelBar,Soft Pretzel Bar,,true,false,,,Plated Sides;,,,,
Southwestern Red Beans and Rice,Standard,2.70,,DBG00000403,,Southwestern Red Beans and Rice,SthwstRedBnsRic,Southwestern Red Beans and Rice,,true,false,,,Plated Sides;,,,,
Steamed Broccoli,Standard,2.70,,DBG00000125,,Steamed Broccoli,St Broc,Steamed Broccoli,,true,false,,,Plated Sides;,,,,
Steamed Broccoli and Cauliflower,Standard,2.70,,DBG00000404,,Steamed Broccoli and Cauliflower,StmdBrcclClflwr,Steamed Broccoli and Cauliflower,,true,false,,,Plated Sides;,,,,
Steamed Corn,Standard,2.70,,DBG00000405,,Steamed Corn,St Corn,Steamed Corn,,true,false,,,Plated Sides;,,,,
Steamed Edamame,Standard,2.70,,DBG00000126,,Steamed Edamame,St Edamame,Steamed Edamame,,true,false,,,Plated Sides;,,,,
Steamed Green Beans,Standard,2.70,,DBG00000127,,Steamed Green Beans,St Green Beans,Steamed Green Beans,,true,false,,,Plated Sides;,,,,
Steamed White Rice,Standard,2.70,,DBG00000128,,Steamed White Rice,St White Rice,Steamed White Rice,,true,false,,,Plated Sides;,,,,
Stewed Okra and Tomatoes,Standard,2.70,,DBG00000129,,Stewed Okra and Tomatoes,StwdOkraTmts,Stewed Okra and Tomatoes,,true,false,,,Plated Sides;,,,,
Tater Tots,Standard,2.70,,DBG00000137,,Tater Tots,Tater Tots,Tater Tots,,true,false,,,Plated Sides;,,,,
Toppings,Standard,0.75,,DBG00000406,,Toppings,Toppings,Toppings,,true,false,,,Plated Sides;,,,,
Waffle Fries,Standard,2.70,,DBG00000145,,Waffle Fries,Waffle Fries,Waffle Fries,,true,false,,,Plated Sides;,,,,
Broccoli-Cheddar Soup,Standard,2.99,,"DBG00000020,DBG00000407",,Broccoli-Cheddar Soup,Broc Chd Soup,Broccoli-Cheddar Soup,,true,false,,,Rice Bowls;,,,,
Vegetarian Rice Bowl Bar,Standard,4.00,,DBG00000204,,Vegetarian Rice Bowl Bar,VegRiceBowlBar,Vegetarian Rice Bowl Bar,,true,false,,,Rice Bowls;,,,,
Bacon Corn Chowder,Standard,2.99,,DBG00000010,,Bacon Corn Chowder,BcnCornChowder,Bacon Corn Chowder,,true,false,,,Soups;,,,,
Beef Chili,Standard,2.99,,DBG00000408,,Beef Chili,Beef Chili,Beef Chili,,true,false,,,Soups;,,,,
Cajun Chicken and Sausage Gumbo,Standard,2.99,,DBG00000023,,Cajun Chicken and Sausage Gumbo,Gumbo,Cajun Chicken and Sausage Gumbo,,true,false,,,Soups;,,,,
Cheeseburger Soup,Standard,2.99,,DBG00000409,,Cheeseburger Soup,Chzbrg Soup,Cheeseburger Soup,,true,false,,,Soups;,,,,
Chicken and Rice Soup,Standard,2.99,,DBG00000035,,Chicken and Rice Soup,Chick Rice Soup,Chicken and Rice Soup,,true,false,,,Soups;,,,,
Chicken Noodle Soup,Standard,2.99,,DBG00000410,,Chicken Noodle Soup,Chick Sal Soup,Chicken Noodle Soup,,true,false,,,Soups;,,,,
Chicken Tortilla Soup (GF),Standard,2.99,,DBG00000411,,Chicken Tortilla Soup (GF),ChkTrtllSoupGf,Chicken Tortilla Soup (GF),,true,false,,,Soups;,,,,
Cream of Tomato Soup,Standard,2.99,,DBG00000055,,Cream of Tomato Soup,Cream Tom Soup,Cream of Tomato Soup,,true,false,,,Soups;,,,,
Creamy Tomato-Basil Soup,Standard,2.99,,DBG00000412,,Creamy Tomato-Basil Soup,CrmTomBaslSoup,Creamy Tomato-Basil Soup,,true,false,,,Soups;,,,,
Egg Drop Soup,Standard,2.99,,DBG00000060,,Egg Drop Soup,Egg Drop Soup,Egg Drop Soup,,true,false,,,Soups;,,,,
French Onion Soup,Standard,2.99,,DBG00000413,,French Onion Soup,FrenchOnionSoup,French Onion Soup,,true,false,,,Soups;,,,,
Italian Wedding Soup,Standard,2.99,,DBG00000091,,Italian Wedding Soup,IT Wed Soup,Italian Wedding Soup,,true,false,,,Soups;,,,,
Loaded Baked Potato Soup (GF),Standard,2.99,,DBG00000414,,Loaded Baked Potato Soup (GF),LodBkdPotSoup,Loaded Baked Potato Soup (GF),,true,false,,,Soups;,,,,
Tomato and Vegetable Soup,Standard,2.99,,DBG00000139,,Tomato and Vegetable Soup,Tom Veg Soup,Tomato and Vegetable Soup,,true,false,,,Soups;,,,,
Turkey Noodle Soup,Standard,2.99,,DBG00000415,,Turkey Noodle Soup,Turk Nood Soup,Turkey Noodle Soup,,true,false,,,Soups;,,,,
