Recipe ID,Menu Item Name,Price,Barcode,Combo/Seasoning Item Recipe IDs
RCP00181,Mexican Street Corn Chicken Bowl,$6.10,DBG00000180,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044,RCPX00045,RCPX00046,RCPX00047,RCPX00048,RCPX00049,RCPX00050,RCPX00051,RCPX00052,RCPX00053,RCPX00054,RCPX00055,RCPX00056"
RCP00182,Pasta Combo,$6.10,DBG00000181,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020"
RCP00183,Pepperoni Pizza Combo,$6.25,DBG00000182,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044,RCPX00045"
RCP00184,Protein Pack Combo,$5.75,DBG00000183,"RCPX00001,RCPX00002"
RCP00185,Quesadilla Combo,$6.50,DBG00000184,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009"
RCP00186,Red & White Pasta Bar,$6.10,DBG00000185,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027"
RCP00187,Red Beans Combo,$6.10,DBG00000186,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020"
RCP00188,Salad with Chicken Combo,$6.25,DBG00000187,"RCPX00001,RCPX00002"
RCP00189,Sandwich Topping Bar,,DBG00000188,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016"
RCP00190,Sandwich Whole Fruit Combo,$5.30,DBG00000189,"RCPX00001,RCPX00002,RCPX00003"
RCP00191,Sm MI Combo,$5.60,DBG00000190,"RCPX00001,RCPX00002,RCPX00003,RCPX00004"
RCP00192,Sweet and Sour Chicken Combo,$6.10,DBG00000191,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016"
RCP00193,Tacos or Taco Bowls!,$6.10,DBG00000192,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044,RCPX00045,RCPX00046,RCPX00047,RCPX00048,RCPX00049,RCPX00050,RCPX00051,RCPX00052,RCPX00053,RCPX00054,RCPX00055,RCPX00056,RCPX00057,RCPX00058,RCPX00059,RCPX00060,RCPX00061,RCPX00062,RCPX00063,RCPX00064,RCPX00065,RCPX00066,RCPX00067,RCPX00068"
RCP00194,Tenders and Tots Combo,$6.50,DBG00000193,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024"
RCP00195,Top Allergen Free Burger Combo,$7.00,DBG00000194,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044,RCPX00045"
RCP00196,Top Allergen Free Cajun Chicken Combo,$7.00,DBG00000195,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033"
RCP00197,Top Allergen Free Chicken Sandwich Combo,$7.00,DBG00000196,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044,RCPX00045"
RCP00198,Top Allergen Free Cuban Combo,$7.00,DBG00000197,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009"
RCP00199,Top Allergen Free Greek Chicken Combo,$7.00,DBG00000198,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012"
RCP00200,Top Allergen Free Mexican Chicken Combo,$7.00,DBG00000199,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024"
RCP00201,Top Allergen Free Pulled Pork Combo,$7.00,DBG00000200,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024"
RCP00202,Top Allergen Free Veggie Red Beans Combo,$7.00,DBG00000201,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028"
RCP00203,Top Allergen Free White Beans Combo,$7.00,DBG00000202,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012"
RCP00204,Tossed To Order Caesar Salad Bar,$6.10,DBG00000203,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044"
RCP00205,Vegetarian Rice Bowl Bar,$4.00,DBG00000204,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044,RCPX00045,RCPX00046,RCPX00047,RCPX00048,RCPX00049,RCPX00050,RCPX00051,RCPX00052,RCPX00053,RCPX00054,RCPX00055,RCPX00056,RCPX00057,RCPX00058,RCPX00059,RCPX00060,RCPX00061,RCPX00062,RCPX00063,RCPX00064,RCPX00065,RCPX00066,RCPX00067,RCPX00068,RCPX00069,RCPX00070,RCPX00071,RCPX00072,RCPX00073,RCPX00074,RCPX00075"
RCP00206,Watermelon Lemonade,$2.75,DBG00000205,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008"
